Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Applicant_Age,Loan_Status
Male,Yes,2,Graduate,No,9079,0,700,360,1.0,Rural,26,N
Female,Yes,0,Not Graduate,No,7619,3163,700,360,1.0,Semiurban,24,N
Female,No,2,Graduate,No,5825,0,700,360,1.0,Rural,53,N
Male,Yes,0,Graduate,No,6376,4053,700,360,0.0,Semiurban,63,N
Male,No,0,Not Graduate,No,4959,0,700,360,1.0,Urban,40,N
Male,Yes,1,Graduate,No,5345,0,700,120,1.0,Urban,47,N
Male,Yes,3+,Graduate,No,8531,4356,700,360,1.0,Semiurban,64,N
Female,Yes,0,Graduate,No,8270,3241,700,360,1.0,Rural,27,N
Female,No,0,Not Graduate,Yes,5157,3581,700,240,1.0,Semiurban,45,N
Female,Yes,0,Graduate,No,11997,0,700,360,1.0,Semiurban,53,Y
Male,Yes,1,Graduate,No,7347,0,700,360,1.0,Semiurban,29,N
Female,Yes,0,Graduate,No,5882,0,700,360,0.0,Urban,21,N
Female,Yes,2,Graduate,No,8692,0,700,360,1.0,Semiurban,43,N
Male,Yes,0,Graduate,No,7554,0,700,180,1.0,Semiurban,46,N
Male,Yes,0,Graduate,No,5842,3976,700,360,0.0,Rural,62,N
Male,Yes,0,Graduate,Yes,8036,4064,700,360,1.0,Semiurban,49,Y
Male,Yes,1,Not Graduate,No,7690,0,700,360,1.0,Rural,24,N
Male,Yes,1,Graduate,No,6732,2519,700,120,1.0,Rural,41,N
Male,No,0,Graduate,Yes,6307,2836,700,360,1.0,Rural,35,N
Male,No,3+,Graduate,Yes,8017,3093,700,360,1.0,Semiurban,48,N
Female,Yes,0,Graduate,No,5216,2998,700,360,1.0,Urban,53,N
Male,No,2,Graduate,Yes,6622,0,700,360,1.0,Rural,30,N
Male,No,1,Graduate,No,7573,3801,700,360,1.0,Semiurban,28,N
Male,Yes,0,Graduate,No,9635,3577,700,360,0.0,Urban,21,N
Male,Yes,2,Graduate,No,5413,0,700,360,1.0,Urban,62,N
Female,No,2,Not Graduate,No,7131,0,700,360,1.0,Semiurban,54,N
Male,Yes,0,Not Graduate,No,4544,4204,700,180,1.0,Rural,56,N
Male,Yes,1,Graduate,Yes,8999,4138,700,360,1.0,Urban,62,N
Male,No,0,Graduate,No,5969,3246,700,360,1.0,Urban,42,N
Male,Yes,1,Graduate,No,9898,4360,700,360,1.0,Semiurban,33,N
Female,No,0,Graduate,No,6414,5435,700,360,1.0,Semiurban,40,N
Male,No,2,Graduate,No,7502,0,700,360,0.0,Semiurban,41,N
Male,No,0,Graduate,No,5597,0,700,360,1.0,Semiurban,31,N
Female,Yes,0,Not Graduate,No,5467,2844,700,240,1.0,Rural,24,N
Female,Yes,0,Not Graduate,No,6851,3554,700,360,1.0,Rural,39,N
Female,Yes,0,Graduate,No,5473,9921,700,360,1.0,Semiurban,47,Y
Male,Yes,1,Graduate,No,7218,0,700,360,1.0,Semiurban,45,N
Male,Yes,0,Graduate,Yes,8481,0,700,360,1.0,Semiurban,47,N
Female,Yes,2,Graduate,No,8253,2730,700,360,1.0,Urban,59,N
Male,Yes,0,Graduate,Yes,8178,0,700,360,1.0,Rural,56,N
Male,Yes,2,Graduate,No,6546,2547,700,360,1.0,Urban,34,N
Male,Yes,1,Graduate,No,7677,3624,700,360,1.0,Rural,24,N
